"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 01 21:46:27 GMT 2023","Mon May 01 21:46:29 GMT 2023","2844","","portio.PortioTest","","portio.PortioTest","loginTest_MultipleTimesWithValidCredentials_Pass","Login multiple times",""
"passed","Mon May 01 21:46:52 GMT 2023","Mon May 01 21:47:16 GMT 2023","23926","","portio.PortioTest","","portio.PortioTest","blogTest_AsLoggedInUser_AllBlogArticlesAreDisplayed","All blog articles are displayed",""
"passed","Mon May 01 21:46:19 GMT 2023","Mon May 01 21:46:22 GMT 2023","3005","","portio.PortioTest","","portio.PortioTest","registrationTest_ValidCredentials_Pass","Registration with valid credentials",""
"passed","Mon May 01 21:46:09 GMT 2023","Mon May 01 21:46:16 GMT 2023","7270","","portio.PortioTest","","portio.PortioTest","termsAndConditionsTest_AsNewUser_Pass","Accepting terms and conditions as a new user",""
"passed","Mon May 01 21:46:48 GMT 2023","Mon May 01 21:46:52 GMT 2023","4044","","portio.PortioTest","","portio.PortioTest","profileDeletionTest_AsLoggedInUser_AccountIsDeleted","Delete account",""
"passed","Mon May 01 21:46:41 GMT 2023","Mon May 01 21:46:48 GMT 2023","6978","","portio.PortioTest","","portio.PortioTest","profileUpdateTest_AsLoggedInUser_ProfileIsUpdated","Update profile information",""
"passed","Mon May 01 21:46:16 GMT 2023","Mon May 01 21:46:19 GMT 2023","2708","","portio.PortioTest","","portio.PortioTest","loginTest_ValidCredentials_Pass","Login with default username and password",""
"passed","Mon May 01 21:46:36 GMT 2023","Mon May 01 21:46:39 GMT 2023","3225","","portio.PortioTest","","portio.PortioTest","logoTest_AsLoggedInUser_LogoIsDisplayed","Validating logo display",""
"passed","Mon May 01 21:46:22 GMT 2023","Mon May 01 21:46:27 GMT 2023","4586","","portio.PortioTest","","portio.PortioTest","loginTest_AsNewlyRegisteredUser_Pass","Login as newly registered user",""
"passed","Mon May 01 21:46:39 GMT 2023","Mon May 01 21:46:41 GMT 2023","2336","","portio.PortioTest","","portio.PortioTest","logoTest_AsLoggedInUser_LogoIsAccordingToTheExpected","Logo is according to the expected",""
"passed","Mon May 01 21:46:33 GMT 2023","Mon May 01 21:46:36 GMT 2023","2746","","portio.PortioTest","","portio.PortioTest","imageDownloadTest_AsLoggedInUser_ImageIsDownloaded","Save image as logged in user",""
"passed","Mon May 01 21:46:29 GMT 2023","Mon May 01 21:46:33 GMT 2023","3379","","portio.PortioTest","","portio.PortioTest","logoutTest_AsLoggedInUser_Pass","Logout as a logged in user",""
